Age,Gender,Income,Education_Level,Travel_Frequency,Preferred_Activities,Vacation_Budget,Location,Proximity_to_Mountains,Proximity_to_Beaches,Favorite_Season,Pets,Environmental_Concerns,Preference
63,male,70757,doctorate,3,skiing,4280,suburban,175,165,spring,0,0,0
69,female,97497,high school,6,sunbathing,4333,suburban,85,248,winter,0,1,0
50,female,74466,bachelor,4,sunbathing,2965,urban,216,59,winter,1,0,0
25,female,30090,high school,9,hiking,3327,rural,225,228,winter,0,0,1
59,non-binary,113768,doctorate,0,swimming,4431,suburban,44,28,winter,0,1,0
32,male,32100,bachelor,2,hiking,4751,urban,256,75,summer,0,1,0
43,non-binary,109828,doctorate,6,sunbathing,1689,urban,258,260,fall,1,1,0
27,male,91939,master,4,sunbathing,3977,suburban,56,143,summer,1,1,0
43,non-binary,44097,master,6,sunbathing,2099,urban,150,59,fall,0,1,0
65,male,96722,doctorate,3,swimming,1565,urban,91,269,winter,0,0,0
38,male,66441,master,9,swimming,2528,suburban,186,174,summer,0,1,0
63,non-binary,50046,master,6,hiking,3311,urban,279,124,spring,0,1,0
34,female,74536,bachelor,2,hiking,3449,rural,236,125,spring,1,1,0
66,non-binary,100338,doctorate,1,swimming,4849,suburban,209,35,spring,1,0,0
50,male,20829,high school,7,sunbathing,4377,suburban,164,268,spring,0,1,0
23,female,65461,doctorate,2,skiing,3680,rural,4,295,spring,1,0,1
23,male,20490,doctorate,9,hiking,2391,rural,170,36,summer,0,1,0
54,non-binary,116302,doctorate,5,skiing,1404,rural,192,220,summer,0,1,1
54,male,81514,bachelor,7,swimming,3969,urban,107,286,fall,0,0,0
48,male,106460,master,6,swimming,2979,urban,108,87,spring,1,1,0
41,female,87016,bachelor,9,sunbathing,2306,urban,174,60,summer,1,1,0
60,male,101905,doctorate,1,swimming,1032,suburban,104,100,spring,1,1,0
26,male,119528,master,2,swimming,3656,urban,223,20,spring,0,0,0
32,non-binary,81759,doctorate,5,skiing,4624,urban,51,101,summer,0,0,1
21,male,67164,bachelor,4,sunbathing,1686,suburban,239,251,spring,1,0,0
57,non-binary,46677,high school,8,sunbathing,3337,suburban,134,183,summer,1,1,0
34,male,63753,doctorate,7,sunbathing,874,urban,259,200,fall,1,0,0
69,non-binary,98041,doctorate,7,swimming,3755,rural,266,107,winter,0,1,0
39,non-binary,115585,doctorate,2,skiing,2355,urban,142,8,winter,0,1,0
33,female,55271,master,1,swimming,2428,suburban,35,287,spring,0,0,0
34,female,109002,high school,3,skiing,2182,rural,172,191,summer,1,0,1
65,non-binary,107418,bachelor,8,skiing,1666,urban,20,36,spring,1,0,1
56,female,66004,high school,8,sunbathing,3919,suburban,124,90,winter,1,0,0
22,male,76288,bachelor,6,skiing,1213,urban,283,190,winter,1,0,0
38,non-binary,31794,doctorate,1,swimming,4761,suburban,23,294,fall,0,1,0
41,female,98733,doctorate,8,hiking,1058,rural,135,254,spring,0,1,1
53,female,117070,doctorate,7,hiking,2062,rural,168,178,fall,0,1,1
34,non-binary,80077,doctorate,6,sunbathing,1445,suburban,124,229,winter,0,0,0
31,female,116891,bachelor,7,swimming,4433,suburban,246,119,fall,0,0,0
33,male,36510,master,3,sunbathing,4163,suburban,28,298,winter,0,0,0
55,male,85964,bachelor,0,hiking,2127,rural,141,182,winter,1,0,1
56,female,26018,bachelor,1,hiking,4662,suburban,17,16,summer,0,0,0
18,female,54204,master,3,skiing,3352,urban,66,250,fall,0,1,1
20,non-binary,99120,master,1,swimming,2240,suburban,208,176,winter,1,1,0
23,non-binary,30892,doctorate,3,swimming,3316,rural,49,14,fall,0,1,0
54,male,70924,doctorate,3,skiing,3994,suburban,94,193,spring,1,1,1
19,male,48570,bachelor,5,swimming,1452,urban,46,192,winter,1,0,0
40,male,43128,master,4,skiing,4610,suburban,75,167,summer,0,1,1
37,female,61640,doctorate,7,sunbathing,2143,rural,246,12,fall,0,1,0
25,male,34720,high school,9,sunbathing,4253,rural,270,78,summer,0,0,0
39,non-binary,52469,doctorate,4,hiking,4979,rural,253,50,summer,0,1,0
31,non-binary,53573,high school,2,swimming,3842,urban,164,250,summer,0,1,0
32,female,51436,doctorate,6,hiking,2122,urban,231,2,winter,0,0,0
58,male,86949,bachelor,8,sunbathing,2683,rural,117,255,summer,0,0,0
52,male,47936,bachelor,0,swimming,722,urban,17,31,winter,1,1,0
50,female,90520,high school,6,hiking,3550,suburban,242,248,winter,1,1,1
50,male,46094,bachelor,9,skiing,4530,urban,210,137,winter,1,0,0
54,non-binary,96747,bachelor,2,swimming,904,rural,36,222,fall,0,1,0
50,non-binary,68868,bachelor,9,swimming,1875,suburban,186,52,fall,1,0,0
22,non-binary,61306,bachelor,6,hiking,1737,urban,54,49,fall,0,0,0
66,female,22465,high school,3,sunbathing,2280,suburban,218,19,summer,1,1,0
54,male,41513,high school,8,swimming,3987,urban,249,73,spring,0,1,0
65,male,81456,doctorate,0,hiking,987,suburban,106,114,summer,1,1,1
68,non-binary,105478,bachelor,6,skiing,4335,urban,146,120,spring,0,0,0
55,female,49853,bachelor,1,sunbathing,1804,suburban,251,89,spring,0,0,0
39,non-binary,65728,doctorate,5,sunbathing,1717,rural,80,19,summer,1,1,0
54,male,40167,high school,8,sunbathing,4863,rural,121,262,spring,0,0,0
27,male,55076,master,3,hiking,2135,suburban,47,61,summer,1,0,1
67,non-binary,108291,master,2,hiking,4847,rural,102,93,spring,0,0,0
52,non-binary,34195,doctorate,6,sunbathing,572,suburban,8,236,summer,1,0,0
66,female,78787,doctorate,1,sunbathing,4218,suburban,258,191,winter,0,1,0
24,male,109006,master,1,sunbathing,3141,rural,55,259,summer,1,0,0
49,male,119551,doctorate,7,skiing,1618,urban,202,231,spring,0,0,1
69,male,24251,doctorate,4,sunbathing,1970,urban,78,273,spring,0,0,0
36,non-binary,53793,master,3,hiking,1430,suburban,293,156,summer,0,0,0
64,female,110109,doctorate,9,skiing,1540,rural,177,76,summer,1,0,0
32,non-binary,95341,bachelor,0,swimming,1714,suburban,83,83,spring,1,1,0
48,female,92940,high school,0,sunbathing,3138,rural,233,154,fall,0,1,0
66,male,25773,bachelor,0,skiing,2084,suburban,263,252,fall,0,0,0
56,non-binary,23100,master,6,sunbathing,969,suburban,87,115,spring,0,1,0
41,female,102505,doctorate,7,skiing,1666,suburban,104,8,fall,1,1,0
21,non-binary,53908,bachelor,2,swimming,2585,rural,269,250,winter,1,0,0
34,non-binary,69265,master,9,swimming,3136,urban,191,264,winter,1,1,0
58,male,32248,doctorate,8,hiking,941,suburban,179,247,fall,1,1,1
49,non-binary,59226,bachelor,7,hiking,3072,suburban,270,99,spring,1,1,0
60,male,75004,doctorate,9,sunbathing,4280,rural,108,169,summer,1,1,0
34,female,72976,doctorate,0,hiking,780,suburban,69,203,summer,1,0,1
20,non-binary,84790,master,0,hiking,3478,rural,71,127,fall,1,0,1
24,female,31245,doctorate,0,hiking,4977,rural,237,231,summer,1,1,0
37,non-binary,87466,master,2,hiking,4779,rural,286,147,spring,1,0,0
19,female,43765,bachelor,8,skiing,599,suburban,68,229,spring,1,0,1
41,male,106786,high school,1,sunbathing,722,suburban,228,214,fall,1,1,0
25,male,67919,doctorate,8,skiing,4424,rural,2,25,spring,1,1,1
61,female,53259,doctorate,9,hiking,1516,rural,73,268,winter,1,0,1
26,male,90409,doctorate,3,skiing,4118,urban,159,208,spring,1,1,1
49,female,108880,high school,8,sunbathing,3304,urban,274,139,winter,1,0,0
36,male,47553,master,2,hiking,4599,urban,4,24,fall,1,0,1
34,non-binary,101481,master,0,skiing,2060,suburban,45,42,spring,1,0,0
49,female,79085,doctorate,2,sunbathing,4930,rural,195,20,winter,1,1,0
30,non-binary,109137,doctorate,0,skiing,4350,rural,6,232,fall,0,0,1
62,female,114297,high school,4,swimming,2158,urban,52,271,winter,0,1,0
23,male,29730,doctorate,7,hiking,2254,urban,292,13,summer,0,0,0
69,non-binary,94659,doctorate,2,hiking,3498,urban,163,137,spring,0,1,0
36,non-binary,45061,high school,4,swimming,3936,urban,134,274,summer,0,1,0
49,female,106176,bachelor,4,swimming,1936,urban,135,58,fall,1,1,0
24,non-binary,58908,doctorate,4,sunbathing,1642,suburban,243,132,fall,1,1,0
59,female,62564,doctorate,4,swimming,715,suburban,228,159,spring,1,1,0
48,male,44951,master,7,sunbathing,1342,rural,8,17,fall,1,0,0
49,female,24475,bachelor,5,skiing,810,rural,29,62,summer,0,0,1
69,female,117277,doctorate,7,swimming,2491,urban,189,153,spring,0,1,0
39,non-binary,53196,high school,4,sunbathing,2512,rural,92,208,summer,1,0,0
33,non-binary,64023,high school,9,skiing,2038,suburban,61,118,winter,1,1,1
61,non-binary,21863,doctorate,9,skiing,3377,urban,269,283,fall,1,1,1
36,male,108710,doctorate,8,skiing,1768,urban,78,235,winter,0,0,1
29,female,58097,doctorate,0,hiking,1232,rural,170,292,summer,0,0,1
53,female,68539,doctorate,2,swimming,986,urban,5,101,winter,1,1,0
35,female,57246,doctorate,9,swimming,3036,suburban,89,28,spring,1,0,0
55,non-binary,62856,doctorate,8,hiking,1829,rural,37,41,summer,0,1,1
31,non-binary,67460,bachelor,8,skiing,3001,rural,26,122,summer,1,1,1
52,male,34226,high school,2,swimming,4683,suburban,293,119,winter,0,1,0
65,male,61277,high school,1,hiking,3958,urban,126,142,winter,1,1,1
35,female,97893,bachelor,1,hiking,2260,rural,1,157,spring,1,0,1
21,female,105387,bachelor,5,sunbathing,2483,suburban,215,95,winter,1,1,0
45,non-binary,31365,master,9,skiing,3462,rural,133,59,fall,1,1,0
31,female,34127,master,7,sunbathing,2782,suburban,150,199,fall,0,1,0
37,non-binary,98831,high school,9,swimming,560,suburban,147,206,spring,0,0,0
26,male,69572,high school,2,hiking,2605,rural,25,69,fall,0,1,1
45,male,100523,bachelor,1,skiing,3820,rural,232,89,fall,1,1,0
58,female,96113,doctorate,3,sunbathing,1294,rural,243,71,winter,0,0,0
58,male,52559,high school,9,skiing,1816,rural,153,176,fall,0,0,1
69,non-binary,119840,high school,3,sunbathing,4835,rural,0,103,fall,0,1,0
51,female,61023,high school,7,sunbathing,3370,suburban,208,280,spring,0,0,0
36,female,50509,high school,8,skiing,998,rural,12,282,summer,1,0,1
65,male,20587,doctorate,8,hiking,4449,urban,218,87,summer,0,1,0
64,female,28413,master,7,skiing,2660,suburban,147,52,spring,0,1,0
19,non-binary,117342,bachelor,4,sunbathing,4761,suburban,212,2,spring,1,1,0
45,non-binary,57051,master,9,hiking,3650,rural,162,163,winter,1,0,1
34,female,119304,doctorate,9,swimming,3424,suburban,166,131,fall,0,1,0
59,non-binary,27572,doctorate,2,hiking,3203,suburban,187,133,summer,0,1,0
46,non-binary,47349,bachelor,0,hiking,4593,urban,85,182,spring,0,0,1
51,non-binary,74355,bachelor,0,sunbathing,4781,urban,27,46,fall,0,0,0
57,female,49162,bachelor,1,skiing,4018,urban,130,213,summer,0,1,1
36,male,41878,high school,5,skiing,1510,rural,34,281,winter,0,0,1
25,female,114961,doctorate,8,swimming,4672,rural,95,299,winter,0,1,0
21,non-binary,92113,high school,5,hiking,567,rural,215,241,fall,1,0,1
40,male,26457,doctorate,6,skiing,2680,rural,149,117,winter,0,0,0
23,female,113514,high school,3,sunbathing,983,rural,236,36,fall,0,1,0
39,non-binary,46417,high school,4,skiing,2850,suburban,220,230,summer,0,1,1
38,non-binary,58672,master,3,swimming,3759,urban,56,43,spring,0,0,0
59,non-binary,91637,doctorate,7,hiking,3106,urban,132,13,spring,0,1,0
21,male,71739,bachelor,5,sunbathing,3151,urban,198,106,winter,0,1,0
62,male,116968,master,1,skiing,1928,suburban,199,107,summer,0,1,0
53,non-binary,35533,high school,9,sunbathing,3001,urban,232,98,summer,0,1,0
64,non-binary,101299,doctorate,2,swimming,1108,suburban,182,24,spring,0,1,0
33,female,32597,high school,6,sunbathing,4910,rural,82,83,spring,0,0,0
54,non-binary,47322,high school,2,skiing,1338,suburban,288,277,fall,1,1,0
21,male,58447,doctorate,4,hiking,2480,rural,90,10,spring,0,0,0
31,female,110821,master,2,skiing,714,suburban,282,91,fall,0,1,0
51,male,78791,bachelor,6,skiing,4859,rural,273,99,spring,0,1,0
33,male,90871,high school,3,sunbathing,888,urban,277,25,fall,0,0,0
48,non-binary,66180,doctorate,1,hiking,4719,rural,273,12,summer,1,0,0
27,female,107537,bachelor,4,skiing,3423,suburban,153,152,spring,1,1,0
27,female,49913,bachelor,2,swimming,2812,urban,55,54,summer,1,1,0
44,non-binary,71497,doctorate,3,hiking,666,suburban,236,29,fall,1,0,0
35,male,83040,doctorate,5,skiing,3912,urban,128,171,fall,0,1,1
66,non-binary,64883,master,4,hiking,3230,urban,111,25,summer,1,0,0
65,male,96073,high school,0,skiing,1066,suburban,80,195,winter,1,1,1
38,female,59396,doctorate,6,swimming,2830,suburban,21,250,fall,1,1,0
45,female,48930,doctorate,7,swimming,4374,suburban,99,82,winter,0,1,0
69,male,74922,bachelor,7,hiking,1549,urban,69,110,summer,0,0,1
63,non-binary,77924,doctorate,5,sunbathing,635,rural,158,168,spring,0,0,0
67,female,45595,high school,6,sunbathing,3383,suburban,289,186,spring,0,1,0
60,female,107447,high school,3,hiking,4028,suburban,76,281,spring,0,0,1
39,non-binary,34082,master,8,sunbathing,4522,urban,294,262,summer,1,1,0
19,non-binary,27007,high school,9,sunbathing,2725,suburban,216,1,summer,1,1,0
52,female,81341,master,2,sunbathing,4567,rural,214,277,summer,0,0,0
49,male,81126,doctorate,5,skiing,4442,suburban,104,119,summer,0,0,1
20,non-binary,93092,master,2,hiking,655,suburban,275,82,summer,0,1,0
58,male,62169,master,3,swimming,4799,rural,238,125,fall,0,0,0
48,non-binary,92310,high school,9,skiing,834,suburban,63,62,fall,1,0,0
22,male,44334,doctorate,3,hiking,900,urban,152,8,fall,0,0,0
52,female,60364,bachelor,0,skiing,907,rural,213,157,summer,0,1,0
65,male,97416,bachelor,6,skiing,749,rural,207,113,summer,0,1,0
46,female,23309,bachelor,7,sunbathing,2500,urban,198,85,spring,1,1,0
26,female,112313,bachelor,7,hiking,1856,urban,120,177,winter,0,0,1
43,non-binary,42206,doctorate,6,hiking,2594,rural,98,160,fall,1,1,1
24,female,24677,high school,6,hiking,3979,rural,161,241,spring,1,0,1
42,male,37254,high school,5,sunbathing,2610,urban,146,149,spring,0,1,0
44,female,91099,high school,7,sunbathing,3988,suburban,83,173,spring,0,1,0
36,female,119123,high school,5,sunbathing,3037,rural,216,267,summer,1,0,0
60,female,76052,high school,8,sunbathing,594,suburban,141,181,summer,1,1,0
28,non-binary,50144,high school,3,skiing,1416,suburban,154,146,spring,1,0,0
67,male,89620,high school,1,swimming,4534,urban,173,34,spring,0,1,0
54,non-binary,47624,bachelor,8,sunbathing,1107,rural,126,73,summer,0,1,0
25,female,107387,master,8,sunbathing,2629,suburban,9,254,winter,0,0,0
64,non-binary,113091,bachelor,0,sunbathing,2402,urban,245,137,winter,0,1,0
34,male,97381,master,8,swimming,4675,urban,195,167,summer,1,0,0
56,non-binary,23277,doctorate,8,sunbathing,1844,urban,169,41,summer,1,1,0
58,non-binary,85091,doctorate,2,skiing,4501,rural,70,32,winter,1,1,0
60,female,100296,high school,7,hiking,3330,suburban,194,168,fall,0,1,0
45,female,100198,high school,0,skiing,1645,rural,160,270,summer,1,0,1
65,male,20333,bachelor,1,sunbathing,1013,urban,137,260,summer,1,1,0
58,female,100471,master,4,skiing,2959,rural,76,221,summer,1,1,1
36,female,108100,high school,5,hiking,1698,urban,226,197,summer,1,1,0
49,male,36016,high school,2,skiing,1206,urban,184,273,fall,0,1,1
64,male,79720,high school,8,skiing,1526,urban,100,244,winter,0,0,1
53,male,61613,doctorate,8,skiing,4020,suburban,66,244,spring,0,0,1
40,non-binary,78348,bachelor,4,sunbathing,2499,suburban,203,81,spring,0,0,0
41,male,37326,high school,4,swimming,3080,rural,241,106,fall,1,0,0
45,male,106367,high school,7,swimming,2614,suburban,208,215,winter,0,1,0
42,male,49997,high school,0,sunbathing,4622,suburban,186,212,summer,1,1,0
21,female,27223,high school,2,swimming,3954,rural,93,36,spring,1,1,0
40,female,28994,doctorate,0,sunbathing,1718,suburban,125,285,fall,0,1,0
56,female,45593,bachelor,1,skiing,1030,rural,6,216,fall,1,1,1
58,male,25793,bachelor,0,hiking,1253,urban,142,63,winter,0,0,0
43,male,35739,high school,2,swimming,2756,urban,211,56,summer,0,1,0
25,male,48497,doctorate,4,sunbathing,2616,suburban,217,185,spring,1,0,0
64,male,41952,doctorate,5,swimming,1822,urban,38,87,spring,0,1,0
47,male,95760,doctorate,2,skiing,3602,urban,39,19,spring,0,0,0
47,non-binary,30599,high school,8,swimming,1358,rural,100,238,winter,0,1,0
45,male,85674,bachelor,7,swimming,1743,rural,227,289,summer,1,1,0
31,female,90713,bachelor,8,swimming,3264,rural,269,126,spring,1,1,0
54,female,74706,master,2,sunbathing,1012,rural,155,36,summer,0,1,0
44,male,99355,bachelor,8,hiking,1857,suburban,223,118,fall,1,0,0
64,female,70307,doctorate,9,swimming,835,suburban,141,44,summer,1,0,0
32,non-binary,61361,doctorate,9,skiing,3234,suburban,239,32,winter,0,1,0
23,male,112482,master,9,swimming,3524,suburban,52,292,winter,0,0,0
25,non-binary,48474,master,6,swimming,1296,urban,221,291,fall,0,0,0
68,female,48670,high school,1,hiking,2670,urban,193,90,summer,0,1,0
66,male,72312,master,3,skiing,1041,rural,114,100,winter,1,1,0
21,non-binary,99256,doctorate,8,skiing,4847,rural,218,226,winter,0,1,1
32,female,93745,high school,9,skiing,1487,suburban,144,259,summer,1,0,1
57,female,49205,doctorate,2,hiking,1683,suburban,238,102,winter,0,0,0
61,male,41181,bachelor,7,sunbathing,4937,urban,178,188,fall,1,0,0
37,female,93554,high school,4,skiing,2169,rural,120,132,spring,0,0,1
58,male,99505,high school,8,swimming,4609,rural,48,156,fall,0,0,0
42,non-binary,39418,doctorate,6,sunbathing,4452,suburban,264,21,summer,1,0,0
49,non-binary,36995,high school,0,sunbathing,1731,rural,54,241,summer,1,0,0
47,male,35357,high school,9,hiking,4532,suburban,34,147,fall,1,0,1
67,female,70816,doctorate,6,hiking,3599,rural,276,279,spring,1,0,1
19,female,33144,master,7,hiking,4610,urban,261,65,summer,1,1,0
60,non-binary,55535,high school,7,hiking,4454,rural,111,270,summer,1,1,1
43,non-binary,95564,doctorate,4,hiking,2826,urban,256,17,winter,1,0,0
28,non-binary,101242,bachelor,8,hiking,4948,suburban,88,212,fall,1,1,1
48,female,35381,high school,2,skiing,2136,suburban,69,159,winter,0,1,1
67,male,54022,doctorate,8,hiking,1612,suburban,81,103,spring,0,1,1
57,male,65802,high school,3,hiking,2607,suburban,36,258,fall,0,0,1
22,non-binary,92224,doctorate,5,hiking,1993,rural,123,291,summer,0,1,1
20,female,119746,bachelor,2,skiing,4164,urban,81,231,spring,0,0,1
35,female,86110,master,8,sunbathing,1820,rural,139,119,fall,1,0,0
53,female,113215,bachelor,8,swimming,3904,suburban,273,75,spring,1,1,0
68,female,86826,doctorate,1,swimming,1294,rural,282,155,summer,1,0,0
46,non-binary,92561,master,3,skiing,4451,urban,236,73,fall,0,0,0
49,male,73069,master,6,swimming,860,rural,274,198,spring,1,1,0
45,male,102228,high school,1,swimming,1654,suburban,286,290,spring,1,0,0
51,non-binary,37358,high school,2,sunbathing,4373,suburban,69,155,fall,0,1,0
38,male,73463,high school,9,hiking,2083,urban,237,37,fall,0,1,0
65,female,101665,high school,4,skiing,2486,suburban,54,195,winter,1,0,1
53,male,30397,bachelor,0,hiking,1935,suburban,215,123,winter,1,1,0
61,non-binary,82688,bachelor,7,swimming,762,suburban,220,156,spring,1,1,0
42,female,60078,doctorate,6,swimming,4899,suburban,9,270,spring,0,1,0
26,male,116370,bachelor,7,swimming,1704,urban,284,76,spring,0,1,0
29,male,106291,master,8,swimming,953,suburban,46,45,winter,0,0,0
66,non-binary,114869,high school,0,skiing,1092,suburban,266,27,summer,1,0,0
23,non-binary,115042,bachelor,3,sunbathing,4452,rural,131,51,spring,1,0,0
25,male,28217,doctorate,9,swimming,2983,suburban,159,170,summer,1,0,0
34,non-binary,89409,doctorate,7,hiking,4570,rural,118,158,spring,1,0,1
69,non-binary,69668,doctorate,1,swimming,3929,suburban,267,280,summer,1,0,0
48,female,105770,bachelor,3,sunbathing,2999,rural,60,284,spring,0,0,0
41,female,100062,bachelor,6,sunbathing,1096,rural,249,124,spring,0,0,0
29,non-binary,33160,doctorate,8,swimming,4767,suburban,37,116,winter,0,0,0
34,male,57596,master,6,skiing,3644,suburban,284,180,fall,0,1,0
28,male,24342,doctorate,0,hiking,4086,urban,53,167,summer,0,0,1
66,female,93912,high school,8,hiking,2958,rural,71,102,winter,1,1,1
